"seondary"	"mass"	"charge"	"10 MeV"	"20 MeV"	"30 MeV"	"40 MeV"	"50 MeV"	"60 MeV"	"70 MeV"	"80 MeV"	"90 MeV"	"100 MeV"	"110 MeV"	"120 MeV"	"130 MeV"	"140 MeV"	"150 MeV"	"160 MeV"	"170 MeV"	"180 MeV"	"190 MeV"	"200 MeV"	"210 MeV"	"220 MeV"	"230 MeV"	"240 MeV"	"250 MeV"	"260 MeV"	"270 MeV"	"280 MeV"	"290 MeV"	"300 MeV"	"310 MeV"	"320 MeV"	"330 MeV"	"340 MeV"	"350 MeV"	"360 MeV"	"370 MeV"	"380 MeV"	"390 MeV"	"400 MeV"	"410 MeV"	"420 MeV"	"430 MeV"	"440 MeV"	"450 MeV"
"N17"	15839.69436	7	3.96333e-05	0.000219167	2.67333e-05	6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N18"	16776.43149	7	0	1.33e-05	1.13333e-06	3e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"N19"	17710.67318	7	0	1.33333e-07	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Na20"	18631.11174	11	0.000204367	5.73333e-06	3.63333e-06	2.13333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Na21"	19553.57389	11	0.00220813	2.93333e-05	1.68e-05	8.53333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Na22"	20482.06964	11	0.00123637	0.0001024	3.02667e-05	1.27667e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Na23"	21409.21625	11	7.33333e-05	7.2e-05	1.61e-05	7.06667e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne16"	14922.79447	10	0	0	0	3.33333e-08	4.48276e-07	3.33333e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne17"	15846.75293	10	9.66667e-07	1.5e-06	3e-07	2.33333e-07	6.89655e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Ne18"	16767.10323	10	0.000113433	5.45667e-05	4.76667e-06	2.53333e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
